_hour,0,1,2,3,4,5,6,Total
0,8,7,5,2,3,7,4,36
1,9,10,7,8,4,7,10,55
2,5,4,3,3,3,8,10,36
3,9,9,9,1,10,5,7,50
4,3,4,5,2,7,6,4,31
5,9,3,6,5,5,3,7,38
6,5,5,7,7,11,7,9,51
7,14,15,9,10,14,5,11,78
8,13,14,18,10,7,6,14,82
9,10,17,14,14,16,12,14,97
10,20,24,18,15,13,15,11,116
11,21,18,14,23,20,15,10,121
12,17,16,16,22,27,14,18,130
13,18,14,14,14,15,17,21,113
14,22,25,17,20,19,18,13,134
15,19,22,27,25,17,17,18,145
16,22,20,12,21,18,13,11,117
17,27,14,18,12,25,17,16,129
18,20,21,24,22,14,15,13,129
19,18,12,21,17,17,19,12,116
20,18,13,24,16,14,23,12,120
21,14,15,11,12,12,16,8,88
22,4,12,17,8,13,19,15,88
23,11,7,9,8,9,19,6,69
Total,336,321,325,297,313,303,274,2169
